Country;In;Out
AUS;375111.1877;795738.2283
AUT;175648.3084;334335.257
BEL;212879.6404;492090.9398
BGR;11591.54944;26598.84876
BRA;573780.7686;1150451.429
CAN;698250.3138;1365527.962
CHE;259530.986;526268.5405
CHN;1198452.287;3253015.702
CYP;9211.89404;17663.3882
CZE;56407.63959;137783.3099
DEU;1763371.293;3461853.221
DNK;141845.0642;273742.6502
ESP;541526.0756;1114171.93
EST;5067.324355;11786.23728
FIN;110093.12;236980.0588
FRA;1231216.063;2414723.568
GBR;1387317.972;2753696.948
GRC;117967.4727;216384.6262
HRV;18134.51656;37083.09416
HUN;40405.09275;98593.85582
IDN;177730.1927;352659.9775
IND;457035.0917;889777.3842
IRL;89127.95416;204392.1258
ITA;1025834.023;2213740.265
JPN;4637896.423;8691188.718
KOR;504456.9399;1175975.812
LTU;10253.49126;19372.37878
LUX;18941.90023;50505.37607
LVA;7111.795305;15754.56703
MEX;614135.8954;1093021.603
MLT;3642.107769;9348.108569
NLD;371279.8112;775867.4092
NOR;151398.7562;277219.0521
POL;152788.83;334974.6019
PRT;103967.9895;226473.0005
ROU;33855.92821;72755.18941
RUS;232602.5359;446270.0378
SVK;18433.88967;47953.62343
SVN;17689.45402;38579.16174
SWE;230395.1382;472785.1257
TUR;263237.3446;573083.3804
TWN;321951.0524;682643.2177
USA;10284778;18564550
