Country;In;Out
AUS;623438.9924;1329886.738
AUT;267700.9629;527502.2901
BEL;332176.2804;743575.0591
BGR;22390.65009;55599.04839
BRA;590198.1318;1227682.988
CAN;957996.4416;1860912.538
CHE;378528.4555;773286.4641
CHN;1931618.103;5437770.064
CYP;15663.53025;28880.09214
CZE;108125.1368;274328.9511
DEU;2559480.981;5025494.073
DNK;215627.9632;416795.0597
ESP;965506.4727;2091361.607
EST;10674.612;24827.33303
FIN;172593.6128;362604.3134
FRA;1914899.465;3706355.538
GBR;2057122.391;4026986.989
GRC;217400.6132;387847.1302
HRV;35177.23943;72910.0752
HUN;88775.98056;203622.5873
IDN;273969.2347;550006.4905
IND;671188.5245;1382823.368
IRL;170850.1626;395322.1175
ITA;1627502.589;3470152.362
JPN;4553931.419;8566025.206
KOR;690742.7474;1629694.628
LTU;20523.1061;38656.80469
LUX;30728.27145;84902.97742
LVA;13019.35972;28900.4798
MEX;735640.4841;1264788.825
MLT;5324.830787;13115.12771
NLD;581571.7621;1189867.472
NOR;234961.3599;427152.0109
POL;225238.6294;508946.3751
PRT;165774.553;351427.4987
ROU;68261.98939;148625.144
RUS;515767.1294;1023657.848
SVK;38646.54386;95245.61093
SVN;30276.08561;65225.44635
SWE;337583.6518;677672.5864
TUR;345511.718;738903.0739
TWN;340473.7897;764161.0317
USA;12274925;21697287
