Country;In;Out
AUS;397179.7267;846925.5032
AUT;190900.092;368345.6198
BEL;233176.0714;525752.2762
BGR;14675.70917;33196.04165
BRA;461769.9893;939685.5119
CAN;709446.6888;1380445.232
CHE;290286.5758;590382.8518
CHN;1453811.419;3812211.866
CYP;10416.98856;19763.48808
CZE;75236.21499;182446.1931
DEU;1889634.086;3636377.611
DNK;153959.0876;300689.3469
ESP;645258.528;1359448.459
EST;6507.12168;15297.98664
FIN;122947.8576;254773.008
FRA;1358494.349;2646301.315
GBR;1505418.49;2982311.539
GRC;137866.0005;253427.3037
HRV;22471.71638;45977.34662
HUN;58833.47551;134515.4303
IDN;210125.573;424059.3349
IND;493672.1379;983486.013
IRL;113921.2546;256656.5486
ITA;1148752.042;2455603.487
JPN;3886030.555;7255717.058
KOR;543811.8137;1248189.019
LTU;12764.04165;24090.62757
LUX;21108.43968;55018.97952
LVA;8650.06512;18409.4136
MEX;690230.5758;1187559.053
MLT;3990.73595;9645.32939
NLD;417565.6128;860237.8512
NOR;173539.1268;322105.3536
POL;175686.3374;384544.0804
PRT;118004.4349;250750.4105
ROU;41590.35772;89408.40412
RUS;311722.1453;607515.5487
SVK;22506.34081;57598.12417
SVN;20697.27253;44418.31045
SWE;233323.1954;472981.7287
TUR;211186.631;453253.997
TWN;299197.4837;619819.0311
USA;10977513;19175007
