Country;In;Out
AUS;954678.2064;1986523.015
AUT;355343.7114;725903.8538
BEL;436009.4587;972814
BGR;45084.53884;109314.5209
BRA;1438821.625;2872494.32
CAN;1294742.236;2492268.703
CHE;522616.4129;1082598.672
CHN;4990237.641;15036959.88
CYP;23440.20566;44133.1795
CZE;187596.4668;467214.9208
DEU;3078652.773;6239144.041
DNK;276252.9394;559835.5935
ESP;1403338.966;2864772.746
EST;17149.75983;36981.58415
FIN;220863.7904;472521.9752
FRA;2444693.856;4721921.05
GBR;2109712.231;4188352.325
GRC;296242.8059;524185.7642
HRV;54281.242;109795.5373
HUN;111063.5106;260315.3008
IDN;564408.4972;1119800.693
IND;1290543.629;2636498.485
IRL;211851.9876;523515.8632
ITA;1984002.295;4158508.328
JPN;4929250.544;9354837.54
KOR;822434.6256;2144878.289
LTU;33893.84629;63960.57353
LUX;45472.15379;138028.7106
LVA;23585.5479;51904.8697
MEX;857448.2057;1473112.915
MLT;7449.725167;22662.858
NLD;772285.4172;1593033.16
NOR;346705.7059;646524.7621
POL;390626.2557;873733.6182
PRT;216899.2329;444009.4956
ROU;151302.3802;319526.9765
RUS;1081377.711;2185970.348
SVK;81035.92245;193954.4671
SVN;44129.39286;95346.1699
SWE;379515.5925;776644.4902
TUR;558928.0978;1151168.915
TWN;377714.2727;855193.6519
USA;14418744;24657234
