Country;In;Out
AUS;1477848.366;2962485.365
AUT;362178.953;764692.7886
BEL;445371.1662;1058281.923
BGR;46230.76242;113977.624
BRA;2092195.693;4206527.843
CAN;1717801.836;3340328.289
CHE;642992.4956;1327569.47
CHN;8318792.561;25593234.42
CYP;22913.63292;42409.3166
CZE;186015.2703;491599.3975
DEU;3180034.176;6608792.784
DNK;280468.1267;580801.5848
ESP;1229733.472;2524467.546
EST;19900.44697;47221.20505
FIN;221521.3616;496080.552
FRA;2407007.275;4806515.173
GBR;2355415.551;4659264.137
GRC;217104.6452;394295.2676
HRV;47879.9007;97843.07462
HUN;106878.6054;258209.9893
IDN;898513.24;1759671.713
IND;1823184.122;3720169.299
IRL;205731.4266;450359.9162
ITA;1862225.737;4024546.706
JPN;5871593.429;11351477.64
KOR;1111508.808;3083803.358
LTU;38738.0932;76309.24264
LUX;50225.83157;167672.2261
LVA;25162.00642;59343.46802
MEX;1148698.335;2000442.354
MLT;8152.808261;25867.04486
NLD;750107.3536;1613444.131
NOR;456957.9408;832712.7861
POL;440183.2265;1012234.019
PRT;189329.2886;397564.1479
ROU;150482.8828;351813.2269
RUS;1723301.969;3415630.891
SVK;85216.10041;218230.6735
SVN;40118.74549;89210.69653
SWE;480556.7899;987678.3548
TUR;703301.895;1472372.212
TWN;476338.0496;1181257.176
USA;16155253;28663254
