Country;In;Out
AUS;912441.5783;1917733.662
AUT;345265.6794;707979.0573
BEL;422059.043;979721.7973
BGR;38092.71397;100872.1668
BRA;1204191.41;2490215.529
CAN;1372536.996;2642017.001
CHE;459284.4517;954347.867
CHN;3495059.968;10654372.32
CYP;21436.19842;40105.97172
CZE;171753.4164;456066.7382
DEU;3099193.88;6375749.647
DNK;271418.0717;568886.8038
ESP;1333297.778;3036474.318
EST;19507.18029;43944.42874
FIN;224287.807;492128.7335
FRA;2394018.181;4749697.994
GBR;2664476.282;5289599.534
GRC;281317.9239;517719.9916
HRV;51219.36894;109151.9115
HUN;119649.2178;286482.1805
IDN;455189.5766;898556.5132
IND;1135324.379;2351594.121
IRL;239540.9238;581314.8433
ITA;1982454.29;4399257.307
JPN;4310742.5;8489260.461
KOR;1013652.065;2516486.668
LTU;35737.74315;68467.0648
LUX;45274.7416;147783.756
LVA;27593.99658;61655.71833
MEX;1003194.046;1734393.611
MLT;6910.047256;19192.33121
NLD;750373.419;1551741.773
NOR;356664.3118;668111.8362
POL;375514.6769;884827.9453
PRT;208567.6238;444873.8935
ROU;151949.5346;318100.5945
RUS;1114178.648;2258991.988
SVK;69461.62497;174225.7971
SVN;42223.25644;96517.94379
SWE;430725.6163;895474.375
TUR;581364.9384;1230394.049
TWN;391993.5753;937700.9317
USA;14477638;26151311
