Country;In;Out
AUS;1432605.682;2874155.756
AUT;381886.6552;803041.6415
BEL;466560.0691;1091329.254
BGR;47925.04991;115598.5182
BRA;2105490.766;4216646.886
CAN;1730180.255;3356078.119
CHE;662515.9249;1363645.059
CHN;9380358.564;29232642.46
CYP;22078.93019;41653.39766
CZE;186867.5758;492524.4328
DEU;3369203.766;6914995.692
DNK;292679.056;601457.0229
ESP;1250131.233;2549224.201
EST;22104.92136;52216.66704
FIN;231629.9367;511779.3507
FRA;2522488.22;5004462.75
GBR;2420100.546;4808146.665
GRC;212473.3124;383396.3294
HRV;48683.28499;98723.96803
HUN;113315.0067;270431.954
IDN;895520.1424;1752939.442
IND;1886273.555;3780995.429
IRL;217768.2914;481233.5819
ITA;1920990.004;4098209.012
JPN;4820354.385;9378218.963
KOR;1191047.728;3201879.238
LTU;42038.7056;82759.84532
LUX;55429.70936;189168.4497
LVA;26922.68088;63011.00937
MEX;1209722.391;2104457.903
MLT;8962.407898;27688.11411
NLD;779241.4254;1659468.919
NOR;468347.4476;858418.6879
POL;467377.9593;1060614.828
PRT;198908.069;408870.4526
ROU;168725.8751;385683.0958
RUS;1788865.288;3630523.903
SVK;89493.23724;226612.9217
SVN;41133.78039;91214.97048
SWE;511805.7631;1030249.852
TUR;731250.8307;1530674.1
TWN;494432.0121;1193656.03
USA;16663162;29571550
