Country;In;Out
AUS;701308.0917;1484266.354
AUT;279646.061;561338.1688
BEL;346475.3807;781713.0664
BGR;25414.35039;64677.15111
BRA;778200.4468;1634664.594
CAN;1093591.28;2119134.071
CHE;392457.8024;806794.7053
CHN;2257160.588;6707046.564
CYP;16852.30041;30791.32122
CZE;123247.7356;312337.7072
DEU;2590323.193;5185113.948
DNK;225202.4809;450289.7049
ESP;1037886.693;2308764.701
EST;12379.41749;28656.35102
FIN;178678.8861;383159.1621
FRA;1980806.256;3875851.723
GBR;2171349.455;4176743.964
GRC;222470.7943;399975.9965
HRV;38437.98774;80749.95315
HUN;97088.46298;227451.1263
IDN;303947.6662;602121.4777
IND;786134.2824;1608557.123
IRL;185194.7354;434691.8991
ITA;1672451.343;3609145.172
JPN;4530129.951;8632723.076
KOR;810642.8933;1945950.588
LTU;23649.81105;45498.44643
LUX;32991.49873;96571.22923
LVA;15157.93406;33959.76854
MEX;828814.0613;1435254.981
MLT;5580.069933;14064.4587
NLD;605133.9723;1250410.075
NOR;275533.9562;495268.355
POL;267587.2808;603394.7754
PRT;171187.7229;365509.6736
ROU;88222.44386;188250.3232
RUS;654819.8392;1309118.822
SVK;43443.34995;107333.359
SVN;31960.24741;69632.83951
SWE;343431.2538;704701.8021
TUR;425591.1119;909018.0216
TWN;366612.118;829976.0313
USA;13093722;23514906
