Country;In;Out
AUS;1209750.813;2484151.784
AUT;347747.0184;721151.502
BEL;432885.7261;997284.7367
BGR;43370.74907;103788.7312
BRA;1877773.048;3751500.566
CAN;1518658.743;2935496.635
CHE;561184.002;1153707.318
CHN;5931147.011;18053714.46
CYP;23090.77928;42607.73468
CZE;188037.9223;485891.6971
DEU;3077871.062;6331706.261
DNK;276192.439;553719.4655
ESP;1312327.664;2702194.196
EST;17070.8384;38925.13547
FIN;216911.034;471053.0268
FRA;2387568.466;4696735.034
GBR;2161065.976;4275965.107
GRC;264667.0337;470137.2767
HRV;51009.63284;101456.3624
HUN;110432.5465;265080.1201
IDN;735405.2884;1443519.273
IND;1618577.398;3338037.487
IRL;200747.8345;465506.8283
ITA;1914876.344;4133509.798
JPN;5411384.968;10317384.19
KOR;991191.8514;2638334.074
LTU;33420.042;65754.92556
LUX;47305.26277;152441.8898
LVA;21072.66435;49324.52448
MEX;1007231.02;1741137.429
MLT;7641.00636;23315.12098
NLD;752675.4549;1562899.547
NOR;382032.2992;700849.5686
POL;420981.4388;960207.7732
PRT;209892.293;435458.4246
ROU;150134.3756;327039.6281
RUS;1296436.813;2635097.873
SVK;81406.59705;200018.0366
SVN;41869.35327;93316.85373
SWE;430262.047;881199.6431
TUR;652970.7714;1359962.683
TWN;432114.2785;1059649.959
USA;14964371;26093505
