Country;In;Out
AUS;754671.3759;1588225.325
AUT;298435.5282;608876.978
BEL;366416.4745;845735.3709
BGR;28973.66721;76558.39601
BRA;948549.8601;1985416.784
CAN;1236070.94;2388772.495
CHE;412535.1378;852014.3047
CHN;2713187.018;8177587.506
CYP;18294.62616;33766.88272
CZE;141471.5086;370516.8224
DEU;2718338.843;5525497.575
DNK;240539.8081;492037.9325
ESP;1130155.515;2578264.107
EST;14877.84174;34086.51278
FIN;188936.41;417431.7536
FRA;2083771.159;4128007.241
GBR;2325106.082;4576033.408
GRC;242390.4;444439.5431
HRV;42717.97177;90930.50057
HUN;99687.42214;239637.4837
IDN;385676.3635;765627.0155
IND;891667.8024;1853972.074
IRL;203839.0008;492880.3809
ITA;1742633.805;3835137.034
JPN;4310210.377;8377589.479
KOR;912844.4337;2233897.77
LTU;27289.0738;53332.47788
LUX;37786.27201;117965.8746
LVA;19142.34671;44468.67763
MEX;928915.0426;1601970.157
MLT;5904.948622;16049.69438
NLD;647872.0216;1338182.068
NOR;308471.7788;559533.699
POL;300956.4053;695532.4958
PRT;180278.0004;384162.454
ROU;109194.493;233670.4079
RUS;845495.011;1700894.993
SVK;51529.53862;129506.0654
SVN;34829.43306;77659.58134
SWE;370709.3173;765462.7623
TUR;469354.6162;1001427.875
TWN;377798.0695;881079.8623
USA;13855889;24887955
