Country;In;Out
AUS;356928.1393;758249.741
AUT;176084.0951;339350.1839
BEL;213688.9957;496082.8707
BGR;12497.21244;29159.22352
BRA;488838.1133;993535.1075
CAN;693677.2232;1355973.661
CHE;267011.605;539312.7307
CHN;1324831.84;3521177.912
CYP;9539.776061;18084.51654
CZE;61663.86413;151346.0164
DEU;1764269.308;3460336.885
DNK;142032.8626;278889.9158
ESP;570339.5744;1180336.317
EST;5538.744498;13060.79934
FIN;113840.6116;236684.69
FRA;1245281.646;2451820.532
GBR;1372015.487;2733398.31
GRC;121327.4845;222839.177
HRV;19350.78098;39465.15094
HUN;46406.31903;110350.7985
IDN;172064.6195;343818.891
IND;473243.2432;930507.6289
IRL;97169.55496;222582.035
ITA;1049855.099;2258374.067
JPN;4046327.518;7607273.102
KOR;477019.6261;1100066.475
LTU;10906.82433;20588.34989
LUX;18993.37808;50980.89636
LVA;7537.10092;16410.0788
MEX;656304.7136;1144825.369
MLT;3626.318602;8894.775162
NLD;380275.3424;796432.0032
NOR;153747.9688;283967.4516
POL;169973.553;374552.8686
PRT;106706.1567;232029.9724
ROU;36679.89744;78810.89176
RUS;273720.9676;546091.1149
SVK;19364.90179;49500.22971
SVN;18269.00572;39325.63644
SWE;212116.3601;436496.1997
TUR;200936.879;433009.8172
TWN;292064.3604;599579.2049
USA;10621824;18863118
