Country;In;Out
AUS;1357150.479;2723737.217
AUT;389663.9292;809630.6777
BEL;476145.5594;1110756.459
BGR;49340.69602;122872.5068
BRA;2071925.523;4103501.783
CAN;1675520.776;3252175.04
CHE;680533.2502;1398665.135
CHN;10283983.05;31745102.43
CYP;21050.92114;39448.26298
CZE;186073.3604;492771.7829
DEU;3484775.065;7066740.533
DNK;299877.6949;614581.8534
ESP;1259828.507;2567905.476
EST;23393.74509;54483.16924
FIN;234731.3365;513657.8825
FRA;2537743.214;5020134.478
GBR;2666095.567;5283463.351
GRC;208343.6673;375244.0522
HRV;48159.98823;97418.58727
HUN;116649.4296;284429.5463
IDN;868868.8197;1714343.067
IND;1994314.192;3983527.121
IRL;227662.388;509477.093
ITA;1925309.49;4075402.119
JPN;4437887.099;8668735.697
KOR;1287093.385;3403854.396
LTU;43718.62636;85667.78697
LUX;58245.3736;211968.1905
LVA;27753.61499;64725.66288
MEX;1227752.051;2130489.339
MLT;9457.728874;28914.92798
NLD;792656.1675;1671177.276
NOR;449132.1219;835078.9088
POL;484755.614;1105443.871
PRT;201499.8502;414280.8937
ROU;176349.6527;398280.0946
RUS;1623896.157;3381079.367
SVK;91105.6073;229289.1363
SVN;42819.11383;94237.64353
SWE;507219.2504;1018189.467
TUR;710919.2005;1494427.535
TWN;510922.9452;1220628.556
USA;17348070;30971023
