Country;In;Out
AUS;1441861.118;2931207.751
AUT;382594.8192;805059.1632
BEL;472784.8656;1129381.661
BGR;49797.06733;121405.1665
BRA;2222907.222;4445219.046
CAN;1676666.888;3250588.813
CHE;673542.6801;1381729.937
CHN;7362930.75;22608922.7
CYP;24986.36382;46063.33182
CZE;205910.1129;548193.7584
DEU;3379884.576;7115837.184
DNK;294901.5504;606152.6323
ESP;1369339.632;2830211.616
EST;20346.82481;47853.44081
FIN;237271.968;529475.04
FRA;2574498.432;5130046.176
GBR;2314445.412;4597391.308
GRC;253218.0677;449979.2165
HRV;53462.43131;108097.1785
HUN;119540.7751;292185.8958
IDN;875658.9162;1711859.332
IND;1843958.283;3865701.524
IRL;223065.7728;480215.2224
ITA;2048646.072;4475042.942
JPN;5838375.605;11271277.37
KOR;1092493.562;3040670.683
LTU;39181.5984;78302.088
LUX;52919.8461;172104.9741
LVA;25061.10792;58585.33992
MEX;1132750.688;1960922.188
MLT;8364.585474;26274.51041
NLD;806789.28;1723872.288
NOR;445879.8197;815806.182
POL;463205.3262;1083831.106
PRT;214706.6017;454933.0897
ROU;162817.3923;371363.4915
RUS;1603619.353;3262680.413
SVK;88900.7384;228356.7272
SVN;44690.5776;99911.7744
SWE;496789.0302;1026105.259
TUR;690217.8119;1455482.268
TWN;471263.0668;1187098.934
USA;15517927;27535973
