Country;In;Out
AUS;1005074.073;2097357.721
AUT;383192.3776;803876.4768
BEL;466256.543;1103384.306
BGR;46273.61344;122302.7954
BRA;1440132.257;3036708.367
CAN;1459758.271;2809910.538
CHE;533391.2481;1113686.146
CHN;4521311.995;13689958.44
CYP;24725.57863;46766.39911
CZE;215178.9376;566629.3002
DEU;3389701.282;7076454.157
DNK;303858.686;642214.0738
ESP;1508558.378;3313043.186
EST;21560.344;48629.53552
FIN;250603.7288;556474.2384
FRA;2641961.27;5251791.443
GBR;2538021.446;5038019.967
GRC;314484.0908;568356.9668
HRV;60442.31843;127195.7531
HUN;135824.1411;329371.2399
IDN;538492.476;1068647.63
IND;1253253.311;2588525.091
IRL;246206.0368;623311.8028
ITA;2167705.634;4805338.193
JPN;4796485.141;9691283.576
KOR;921408.3966;2456129.258
LTU;43165.89525;87005.88377
LUX;49843.49996;162520.1642
LVA;32262.94169;71521.38821
MEX;1082470.926;1874876.705
MLT;7958.901847;23955.17557
NLD;839660.5996;1752836.196
NOR;421510.2989;779494.0022
POL;469008.2038;1108469.482
PRT;229469.5258;496893.9117
ROU;186565.5813;392981.9187
RUS;1428383.263;2891627.859
SVK;88043.45984;222650.9288
SVN;48874.20765;111674.279
SWE;459105.829;966660.9872
TUR;663767.4455;1394028.258
TWN;401654.2184;989540.6923
USA;14718578;26825683
