,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,20697.9,754671.3759,1588225.325,36.46125335903642,0.47516644144935793
1,AUT,8268.64,298435.5282,608876.978,36.09245634106697,0.49014092991376
2,BEL,10547.96,366416.4745,845735.3709,34.73813652118514,0.4332519214728755
3,BRA,189012.41,948549.8601,1985416.784,5.018452810056229,0.4777585581748563
4,BGR,7601.02,28973.667210000003,76558.39601,3.8118130474594203,0.3784518579283647
5,EST,13829.18,14877.84174,34086.512780000005,1.0758296399352674,0.4364729779201543
6,CAN,32570.51,1236070.94,2388772.495,37.950616677479104,0.5174502563920387
7,CHN,1311020.0,2713187.018,8177587.506,2.0695237433448765,0.33178330601895734
8,HRV,4440.0,42717.97177,90930.50057,9.621164813063062,0.46978705167376594
9,CYP,1045.51,18294.62616,33766.88272,17.498279461698118,0.5417919774147277
10,CZE,10238.91,141471.5086,370516.8224,13.817047771686635,0.3818220929447332
11,DNK,5437.27,240539.8081,492037.9325,44.239077349478684,0.48886435823725843
12,FIN,5266.27,188936.41,417431.7536,35.87670400492189,0.4526162860649229
13,FRA,63621.38,2083771.159,4128007.2410000004,32.75268720986561,0.504788639492602
14,DEU,82376.45,2718338.8430000003,5525497.575,32.99898020611474,0.491962724823022
15,GRC,11020.36,242390.4,444439.5431,21.99478056978175,0.5453844145129578
16,HUN,10071.37,99687.42214,239637.4837,9.898099478025332,0.4159926093398551
17,IND,1161977.72,891667.8024,1853972.074,0.7673708256643682,0.48094996408236085
18,IDN,229838.2,385676.3635,765627.0155,1.6780342149390308,0.5037392303197796
19,IRL,4273.59,203839.0008,492880.3809,47.697369377970276,0.4135668789002918
20,ITA,58143.98,1742633.805,3835137.034,29.971009982460778,0.45438632037157084
21,JPN,127854.0,4310210.377,8377589.478999999,33.71197128756238,0.5144929084678059
22,KOR,48438.29,912844.4337,2233897.77,18.845513202468545,0.4086330386103568
23,LVA,2218.36,19142.346709999998,44468.67763,8.629053314160009,0.4304680896804081
24,LTU,3269.91,27289.0738,53332.47788,8.345512200641608,0.5116783409426691
25,LUX,472.64,37786.27201,117965.8746,79.94725797647259,0.3203152787882607
26,MLT,405.31,5904.948622,16049.69438,14.568968498186573,0.36791657723765325
27,MEX,110092.38,928915.0426,1601970.157,8.437596158789555,0.5798578946936026
28,NLD,16346.1,647872.0216,1338182.068,39.63465423556689,0.48414340401996775
29,NOR,4660.68,308471.7788,559533.699,66.18600264339108,0.5513015200894986
30,POL,38141.27,300956.4053,695532.4958,7.890571166088597,0.4326992730279849
31,PRT,10522.29,180278.0004,384162.45399999997,17.132962539523238,0.46927542898296876
32,ROU,21193.76,109194.493,233670.4079,5.152200128717133,0.4673013325963386
33,RUS,143049.53,845495.0109999999,1700894.993,5.910505340353093,0.49708830614448163
34,SVK,5373.05,51529.53862,129506.0654,9.590370203143465,0.39789285900118154
35,SVN,2006.87,34829.43306,77659.58134,17.355101755469963,0.44848855040196384
36,ESP,44397.32,1130155.515,2578264.107,25.45548954306251,0.43833969992896465
37,SWE,9080.5,370709.3173,765462.7623,40.824769263807056,0.48429438446636247
38,CHE,7483.93,412535.1378,852014.3047,55.12279481502366,0.48418804182549074
39,TUR,68763.4,469354.6162,1001427.875,6.825645855207858,0.46868539204583254
40,GBR,60846.82,2325106.082,4576033.408,38.212450248016246,0.5081051370680902
41,USA,298379.91,13855889.0,24887955.0,46.43707077999991,0.5567307157217216
