,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,20827.6,912441.5783,1917733.6619999998,43.80925206456818,0.4757916056750117
1,AUT,8295.49,345265.6794,707979.0573,41.62089031509893,0.48767781453413345
2,BEL,10625.7,422059.04299999995,979721.7973,39.72058716131642,0.43079478701315604
3,BRA,191026.64,1204191.41,2490215.529,6.303787838177962,0.4835691513350931
4,BGR,7545.34,38092.71397,100872.1668,5.048508611937964,0.3776335452922976
5,EST,14252.02,19507.18029,43944.428739999996,1.3687309090220192,0.4439056519636533
6,CAN,32887.93,1372536.996,2642017.001,41.73376056200558,0.5195034685547052
7,CHN,1317885.0,3495059.9680000003,10654372.32,2.6520219654977484,0.32803996922833273
8,HRV,4436.0,51219.36894,109151.9115,11.546295973850315,0.46924848347708503
9,CYP,1063.71,21436.19842,40105.97172,20.152295663291685,0.5344889426855657
10,CZE,10298.83,171753.4164,456066.7382,16.676983346651998,0.3765971118127903
11,DNK,5461.44,271418.0717,568886.8038,49.69716259814261,0.47710382783886957
12,FIN,5288.72,224287.807,492128.7335,42.408712694186875,0.45575027778783417
13,FRA,64016.23,2394018.181,4749697.994,37.397050419870084,0.5040358742859473
14,DEU,82266.37,3099193.88,6375749.647000001,37.672670861738524,0.4860908993593047
15,GRC,11048.47,281317.9239,517719.9916,25.46216117706796,0.5433785221053457
16,HUN,10055.78,119649.2178,286482.1805,11.898551658846952,0.41764977350833865
17,IND,1179681.24,1135324.379,2351594.121,0.9623992825383915,0.4827892572367934
18,IDN,232989.14,455189.5766,898556.5132,1.9536943936528541,0.5065786847161656
19,IRL,4398.94,239540.9238,581314.8433,54.454237566322796,0.4120674477193416
20,ITA,58438.31,1982454.29,4399257.307,33.923881268982626,0.4506338574116961
21,JPN,128001.0,4310742.5,8489260.461000001,33.67741267646346,0.5077877536922941
22,KOR,48683.64,1013652.065,2516486.668,20.821205337152275,0.4028044646092279
23,LVA,2200.32,27593.996580000003,61655.718329999996,12.540901587041885,0.44754967304587406
24,LTU,3231.29,35737.74315,68467.0648,11.05989965307973,0.521969844251305
25,LUX,479.99,45274.7416,147783.756,94.32434342382133,0.30635803843015064
26,MLT,406.72,6910.047256,19192.33121,16.989691325727772,0.360042101211737
27,MEX,111836.35,1003194.046,1734393.611,8.970196595293032,0.5784119819385105
28,NLD,16381.7,750373.4190000001,1551741.773,45.80558910247411,0.4835684854634638
29,NOR,4709.15,356664.3118,668111.8362,75.73857528428698,0.5338392354019488
30,POL,38120.56,375514.6769,884827.9453,9.850712500026233,0.42439287648479745
31,PRT,10542.96,208567.6238,444873.8935,19.782643944395126,0.4688241473535691
32,ROU,20882.98,151949.5346,318100.5945,7.27623809437159,0.47767761905267364
33,RUS,142805.09,1114178.648,2258991.988,7.802093384766608,0.49321938896580103
34,SVK,5374.62,69461.62497,174225.7971,12.924006714893332,0.3986873707923475
35,SVN,2018.12,42223.25644,96517.94379,20.92207422749886,0.4374653539228697
36,ESP,45226.8,1333297.778,3036474.318,29.480259005722267,0.4390940407749564
37,SWE,9148.09,430725.6163,895474.375,47.08366624071254,0.48100272696245494
38,CHE,7551.12,459284.4517,954347.8670000001,60.823354906292046,0.48125475791522876
39,TUR,69597.28,581364.9384,1230394.049,8.353270966911351,0.47250304800523296
40,GBR,61322.46,2664476.2819999997,5289599.534,43.45025104994156,0.5037198496546903
41,USA,301231.21,14477638.0,26151311.0,48.061547141811765,0.55361040981846
