,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,20127.4,623438.9924,1329886.738,30.974641155837315,0.4687910440685965
1,AUT,8171.97,267700.9629,527502.2901,32.75843681511312,0.5074877738431263
2,BEL,10421.14,332176.2804,743575.0591,31.87523441773165,0.4467286474106001
3,BRA,184738.46,590198.1318,1227682.988,3.194776722724656,0.48074147607232304
4,BGR,7716.86,22390.65009,55599.048389999996,2.90152342921862,0.40271642660033663
5,EST,13030.57,10674.612,24827.33303,0.8191976252765611,0.4299540344144648
6,CAN,31995.0,957996.4416,1860912.5380000002,29.9420672480075,0.5147992837049712
7,CHN,1296075.0,1931618.1030000001,5437770.063999999,1.4903598194548928,0.3552224680826446
8,HRV,4439.0,35177.23943,72910.0752,7.924586490200496,0.48247432653861805
9,CYP,1010.41,15663.53025,28880.092139999997,15.502152838946566,0.5423642755040047
10,CZE,10197.1,108125.1368,274328.9511,10.603518333643878,0.3941440973198107
11,DNK,5404.52,215627.9632,416795.0597,39.89770843664192,0.5173476944645273
12,FIN,5228.17,172593.6128,362604.3134,33.01224191256214,0.47598334168078876
13,FRA,62704.89,1914899.465,3706355.538,30.538279630185144,0.5166529344978344
14,DEU,82516.26,2559480.981,5025494.073,31.017898545086755,0.5092993731205621
15,GRC,10955.14,217400.6132,387847.1302,19.844622086071013,0.5605317050764141
16,HUN,10107.15,88775.98056,203622.5873,8.783483035277007,0.43598297093241967
17,IND,1126135.78,671188.5245,1382823.368,0.5960103003742586,0.4853754572218077
18,IDN,223614.65,273969.2347,550006.4905,1.2251846410778542,0.49812000300385545
19,IRL,4070.26,170850.1626,395322.1175,41.97524546343477,0.4321796202055404
20,ITA,57685.33,1627502.5890000002,3470152.3619999997,28.213457199603436,0.4690003259862629
21,JPN,127761.0,4553931.419,8566025.206,35.64414351014785,0.5316271327114748
22,KOR,48082.52,690742.7474,1629694.628,14.365776739655077,0.4238479623926207
23,LVA,2263.12,13019.35972,28900.4798,5.7528366679628125,0.4504893970653041
24,LTU,3377.07,20523.1061,38656.80469,6.077192980897642,0.5309053933603844
25,LUX,458.1,30728.27145,84902.97742000001,67.07764996725605,0.3619221891123167
26,MLT,401.27,5324.830787,13115.127709999999,13.26994489246642,0.406006781233242
27,MEX,106995.58,735640.4841,1264788.825,6.875428724251973,0.5816310751322459
28,NLD,16281.78,581571.7621,1189867.472,35.719175796503826,0.4887701998630651
29,NOR,4591.91,234961.3599,427152.0109,51.16854640008189,0.5500649743049121
30,POL,38182.22,225238.6294,508946.3751,5.8990448800515,0.4425586671203703
31,PRT,10483.86,165774.553,351427.4987,15.812358520621222,0.47171764763210894
32,ROU,21451.75,68261.98939,148625.144,3.1821175144219005,0.4592896434132303
33,RUS,144067.05,515767.1294,1023657.848,3.5800492159727018,0.5038471891830795
34,SVK,5372.28,38646.543860000005,95245.61093,7.1936950158964175,0.40575669033613504
35,SVN,1997.01,30276.085610000002,65225.44635,15.160708063555015,0.4641759819862084
36,ESP,42921.89,965506.4727,2091361.6069999998,22.494500421579758,0.461664051529086
37,SWE,8993.53,337583.6518,677672.5864,37.53627905838975,0.4981515536777805
38,CHE,7389.63,378528.4555,773286.4641,51.22427719655788,0.489506118460971
39,TUR,67007.85,345511.718,738903.0739,5.156287181278014,0.46760086702083486
40,GBR,59987.9,2057122.3909999998,4026986.9889999996,34.292288794906966,0.5108341289949969
41,USA,292805.3,12274925.0,21697287.0,41.92179922972706,0.5657354765137227
