,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,21691.7,954678.2064,1986523.015,44.01122117676346,0.48057747088321556
1,AUT,8343.32,355343.7114,725903.8538,42.590205266009214,0.4895189762939373
2,BEL,10796.49,436009.4587,972814.0,40.3843710965323,0.4481940624826534
3,BRA,194896.0,1438821.625,2872494.32,7.382509774443806,0.5008962472030232
4,BGR,7444.44,45084.53884,109314.5209,6.056135698588477,0.41242955161687034
5,EST,15141.1,17149.759830000003,36981.58415,1.1326627411482655,0.4637378366605207
6,CAN,33628.57,1294742.236,2492268.703,38.50125759138732,0.519503468643445
7,CHN,1331260.0,4990237.641,15036959.88,3.7485071593828403,0.3318647971946308
8,HRV,4429.08,54281.242,109795.5373,12.255647222448003,0.4943847749629802
9,CYP,1098.08,23440.20566,44133.1795,21.34653728325805,0.5311243360565037
10,CZE,10443.94,187596.4668,467214.9208,17.962231380111337,0.4015207101664977
11,DNK,5523.1,276252.9394,559835.5935,50.01773268635367,0.49345368998943434
12,FIN,5338.87,220863.7904,472521.9752,41.36901449183067,0.46741485474091876
13,FRA,64707.04,2444693.856,4721921.05,37.78095638434396,0.5177328951740945
14,DEU,81902.31,3078652.773,6239144.041,37.589327736909986,0.49344152864061114
15,GRC,11107.02,296242.8059,524185.7642,26.671673041013698,0.5651485143861524
16,HUN,10022.65,111063.5106,260315.3008,11.081252024165266,0.4266499520338606
17,IND,1214270.13,1290543.629,2636498.485,1.0628142759305133,0.48949151169339666
18,IDN,239340.48,564408.4972,1119800.693,2.3581823567831064,0.5040258509645341
19,IRL,4535.38,211851.9876,523515.8632,46.71096746027896,0.40467157251940933
20,ITA,59095.36,1984002.295,4158508.328,33.572894640120644,0.47709470283883965
21,JPN,128047.0,4929250.544,9354837.54,38.49563475911189,0.5269199516210946
22,KOR,49307.83,822434.6256,2144878.289,16.67959481486003,0.38344116298712744
23,LVA,2141.67,23585.5479,51904.8697,11.01269005028786,0.4543995204365189
24,LTU,3162.92,33893.846289999994,63960.573529999994,10.715998599395494,0.5299177980963924
25,LUX,497.78,45472.15379,138028.7106,91.34990114106633,0.32943982155839974
26,MLT,412.48,7449.7251670000005,22662.857999999997,18.060815474689683,0.3287195801606312
27,MEX,115505.23,857448.2057,1473112.915,7.423457844289822,0.5820655001860465
28,NLD,16530.39,772285.4172,1593033.16,46.719128659396425,0.48478929164286827
29,NOR,4828.73,346705.7059,646524.7621,71.80059889453335,0.5362605212116747
30,POL,38151.6,390626.2557,873733.6182,10.238790920957443,0.44707705822827176
31,PRT,10568.25,216899.2329,444009.4956,20.523665971187285,0.48850133848353666
32,ROU,20367.49,151302.3802,319526.9765,7.428621798758709,0.473519894493165
33,RUS,142785.34,1081377.711,2185970.348,7.573450544712783,0.4946900180916817
34,SVK,5386.41,81035.92245,193954.4671,15.044514333294346,0.4178090026058492
35,SVN,2039.67,44129.39286,95346.1699,21.635555192751767,0.46283340910582293
36,ESP,46362.95,1403338.966,2864772.7460000003,30.268543438241096,0.4898604847310984
37,SWE,9298.51,379515.5925,776644.4902,40.81466734993026,0.48866063854038017
38,CHE,7743.83,522616.4129,1082598.672,67.48810509786502,0.4827425216904386
39,TUR,71339.18,558928.0978,1151168.915,7.834798462780201,0.4855309160254731
40,GBR,62276.27,2109712.231,4188352.325,33.87666331011797,0.5037093509080567
41,USA,306771.53,14418744.0,24657234.0,47.00157149524273,0.5847672938497481
