,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,22742.47,1477848.366,2962485.365,64.98187602314084,0.4988542334959349
1,AUT,8429.99,362178.953,764692.7886,42.96315333707395,0.47362674056738185
2,BEL,11128.25,445371.1662,1058281.923,40.02167152966549,0.4208435923553047
3,BRA,200560.98,2092195.6930000002,4206527.843,10.43171853767368,0.4973687970428109
4,BGR,7305.89,46230.76242,113977.62400000001,6.327875511402444,0.4056126176134361
5,EST,16571.22,19900.446969999997,47221.20505,1.200904156121275,0.42143030761134714
6,CAN,34750.54,1717801.836,3340328.289,49.43237820189269,0.5142613801334662
7,CHN,1350695.0,8318792.561000001,25593234.42,6.158897871836351,0.32503873580352255
8,HRV,4267.56,47879.9007,97843.07462,11.219502643196579,0.4893540077921153
9,CYP,1135.06,22913.63292,42409.3166,20.187155674589892,0.5402971506501475
10,CZE,10510.78,186015.2703,491599.3975,17.69757052283465,0.3783879135043081
11,DNK,5591.57,280468.1267,580801.5848,50.15910141516605,0.48289834952254773
12,FIN,5413.97,221521.3616,496080.552,40.91662155497721,0.44654312834259224
13,FRA,65659.79,2407007.275,4806515.173,36.65877205821097,0.500780126217236
14,DEU,80425.82,3180034.1760000004,6608792.784,39.53996584678901,0.48118230967975234
15,GRC,11045.01,217104.6452,394295.2676,19.656355693657137,0.5506143822660478
16,HUN,9920.36,106878.6054,258209.9893,10.773661984040901,0.4139212649740813
17,IND,1263065.85,1823184.122,3720169.2989999996,1.4434592796567176,0.4900809547807626
18,IDN,248883.23,898513.24,1759671.7130000002,3.6101799225283275,0.5106141295345127
19,IRL,4599.53,205731.4266,450359.9162,44.72879328974918,0.4568155806047288
20,ITA,59539.72,1862225.737,4024546.7060000002,31.277032156012826,0.46271689038263575
21,JPN,127629.0,5871593.429,11351477.64,46.005166764606784,0.517253666457471
22,KOR,50199.85,1111508.808,3083803.358,22.141675881501637,0.3604343983595857
23,LVA,2034.32,25162.006419999998,59343.46802000001,12.368755367887058,0.42400633565129475
24,LTU,2987.77,38738.0932,76309.24264,12.96555397503824,0.5076461495333222
25,LUX,530.95,50225.83157,167672.2261,94.5961607872681,0.29954771125925905
26,MLT,420.03,8152.808261,25867.044859999998,19.410061807489942,0.31518127815238967
27,MEX,120828.31,1148698.335,2000442.354,9.50686420260285,0.5742221627647062
28,NLD,16754.96,750107.3536,1613444.131,44.769271523178816,0.46491064623048917
29,NOR,5018.57,456957.9408,832712.7861,91.05341577381606,0.5487581653935648
30,POL,38063.16,440183.2265,1012234.0190000001,11.564547622950904,0.43486310303507
31,PRT,10514.84,189329.2886,397564.1479,18.005912462766908,0.4762232449783735
32,ROU,20058.03,150482.8828,351813.2269,7.502375996047468,0.4277351483512401
33,RUS,143201.68,1723301.969,3415630.8910000003,12.0340904450283,0.5045340155286703
34,SVK,5407.58,85216.10041,218230.6735,15.758638875430414,0.3904863557597003
35,SVN,2057.16,40118.74549,89210.69653,19.502005429815863,0.4497077934652014
36,ESP,46773.06,1229733.472,2524467.546,26.291490699988415,0.48712587886047637
37,SWE,9519.37,480556.7899,987678.3548,50.48199512152589,0.48655190990523467
38,CHE,7996.86,642992.4956,1327569.47,80.40562115630385,0.4843381157296424
39,TUR,74569.87,703301.895,1472372.2119999998,9.43144858640628,0.47766583019430153
40,GBR,63700.3,2355415.551,4659264.137,36.9765221042915,0.5055338100055863
41,USA,313993.27,16155253.0,28663254.0,51.450953072975096,0.5636224344940041
