,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,22031.75,1209750.813,2484151.784,54.90942902856106,0.48698747829814576
1,AUT,8363.4,347747.0184,721151.502,41.579622928474066,0.4822107663030285
2,BEL,10895.59,432885.7261,997284.7367,39.730361192005205,0.4340643250315976
3,BRA,196796.27,1877773.0480000002,3751500.566,9.541710561892257,0.5005391882433212
4,BGR,7395.6,43370.74907,103788.7312,5.864398976418411,0.4178753181443652
5,EST,15605.22,17070.8384,38925.13547,1.0939184708706446,0.43855565803121405
6,CAN,34005.27,1518658.743,2935496.635,44.65951139338109,0.5173430365727536
7,CHN,1337705.0,5931147.011,18053714.46,4.433822861542716,0.32852779543739385
8,HRV,4417.78,51009.63284,101456.3624,11.546440257323814,0.502774115228874
9,CYP,1112.61,23090.779280000002,42607.73468,20.75370460448855,0.5419386750649942
10,CZE,10474.41,188037.9223,485891.6971,17.952125446683873,0.3869955453494824
11,DNK,5547.68,276192.439,553719.4655,49.78521454013209,0.4987948884018418
12,FIN,5363.35,216911.03399999999,471053.0268,40.443199492854276,0.4604811383413448
13,FRA,65027.51,2387568.466,4696735.034,36.71628309310936,0.5083464254883917
14,DEU,81776.93,3077871.062,6331706.261,37.63740045022478,0.4861045246141749
15,GRC,11121.34,264667.0337,470137.2767,23.79812447960408,0.5629569209184132
16,HUN,10000.02,110432.5465,265080.1201,11.043232563534872,0.4166006355298916
17,IND,1230980.69,1618577.398,3338037.4869999997,1.3148682275430332,0.48488892180017634
18,IDN,242524.12,735405.2884,1443519.273,3.032297523231916,0.5094530444831823
19,IRL,4560.15,200747.8345,465506.8283,44.022199817988444,0.4312457353915038
20,ITA,59277.42,1914876.344,4133509.798,32.30363845120115,0.46325675698809604
21,JPN,128070.0,5411384.967999999,10317384.19,42.253337768407896,0.5244919514817447
22,KOR,49554.11,991191.8514,2638334.074,20.002212760959686,0.37568853056476126
23,LVA,2097.55,21072.66435,49324.52448,10.046322781340134,0.4272248860411112
24,LTU,3097.28,33420.042,65754.92556,10.790126175224714,0.5082515372860533
25,LUX,506.95,47305.26277,152441.8898,93.31346833021009,0.31031669072105666
26,MLT,414.51,7641.006359999999,23315.12098,18.433828761670405,0.32772750210280055
27,MEX,117318.94,1007231.02,1741137.429,8.585408460049162,0.5784902462170894
28,NLD,16615.39,752675.4549,1562899.5469999998,45.29989695697784,0.4815891439374767
29,NOR,4889.25,382032.2992,700849.5686,78.13719879327095,0.5450988576095416
30,POL,38042.79,420981.4388,960207.7732,11.065998019598457,0.4384274430491561
31,PRT,10573.1,209892.293,435458.4246,19.851537675799907,0.4820030596326187
32,ROU,20246.87,150134.3756,327039.6281,7.415189389767407,0.45907089753078156
33,RUS,142849.45,1296436.813,2635097.873,9.075546409174134,0.49198810650779956
34,SVK,5391.43,81406.59705,200018.0366,15.099258832999778,0.4069962811043812
35,SVN,2048.58,41869.35327,93316.85372999999,20.43823198020092,0.44867943566918206
36,ESP,46576.9,1312327.664,2702194.1960000005,28.17550468150521,0.48565260999472587
37,SWE,9378.13,430262.047,881199.6431,45.879300777447106,0.48826852163304063
38,CHE,7824.91,561184.002,1153707.318,71.71763023472474,0.4864179963535604
39,TUR,72326.91,652970.7714,1359962.6830000002,9.028047394807825,0.48013874171869453
40,GBR,62766.36,2161065.976,4275965.107,34.43032184756293,0.5053984122700653
41,USA,309338.42,14964371.0,26093505.0,48.37540386997516,0.5734902612738304
