,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,21249.2,1005074.073,2097357.721,47.29938411799032,0.4792096564818663
1,AUT,8321.5,383192.3776,803876.4768,46.048474145286306,0.47668067005191916
2,BEL,10709.97,466256.54299999995,1103384.3059999999,43.5348131694113,0.4225694895827166
3,BRA,192979.03,1440132.257,3036708.367,7.462636002471356,0.4742412121789369
4,BGR,7492.56,46273.61344,122302.7954,6.175941659459517,0.3783528682942925
5,EST,14689.73,21560.343999999997,48629.53552,1.467715471965788,0.4433590362205458
6,CAN,33245.77,1459758.271,2809910.538,43.908090292389076,0.5195034686189713
7,CHN,1324655.0,4521311.995,13689958.44,3.413199659533992,0.330264844470923
8,HRV,4434.51,60442.31842999999,127195.7531,13.629988077600453,0.47519132484306187
9,CYP,1081.56,24725.57863,46766.399110000006,22.861032795221718,0.528703922058283
10,CZE,10384.6,215178.9376,566629.3002,20.720965429578413,0.37975257813891633
11,DNK,5493.62,303858.686,642214.0738,55.31119480415464,0.4731423654453086
12,FIN,5313.4,250603.7288,556474.2384,47.16447638047202,0.4503420131730576
13,FRA,64374.99,2641961.27,5251791.443,41.04018144313498,0.5030590606413766
14,DEU,82110.1,3389701.2819999997,7076454.157000001,41.28239135015058,0.4790112684679686
15,GRC,11077.84,314484.0908,568356.9668,28.388574920742673,0.5533214320757402
16,HUN,10038.19,135824.1411,329371.2399,13.530740213126071,0.41237401644793703
17,IND,1197146.91,1253253.311,2588525.091,1.0468667634116853,0.48415729689366954
18,IDN,236159.28,538492.476,1068647.63,2.280208831937496,0.5039008751649972
19,IRL,4489.54,246206.0368,623311.8028,54.83992498117847,0.39499659030040757
20,ITA,58826.73,2167705.634,4805338.193,36.84899082440924,0.4511036574195185
21,JPN,128063.0,4796485.141,9691283.576,37.45410572140275,0.4949277465039065
22,KOR,49054.71,921408.3966,2456129.258,18.783280883731653,0.37514654149362364
23,LVA,2177.32,32262.941689999996,71521.38821,14.817730829643779,0.45109501503620203
24,LTU,3198.23,43165.89525,87005.88377,13.49680768737708,0.49612616273295973
25,LUX,488.65,49843.49996,162520.1642,102.00245566356288,0.3066911740174085
26,MLT,409.38,7958.901847,23955.17557,19.441354846353022,0.3322414324930786
27,MEX,113661.81,1082470.926,1874876.705,9.523611545513836,0.5773557925773044
28,NLD,16445.59,839660.5996,1752836.196,51.05688513455583,0.47902970141540824
29,NOR,4768.21,421510.2989,779494.0022,88.40011218046185,0.5407486109070154
30,POL,38125.76,469008.2038,1108469.482,12.301609300378537,0.42311332103954125
31,PRT,10558.18,229469.5258,496893.9117,21.733814521063287,0.4618078837289968
32,ROU,20537.88,186565.5813,392981.9187,9.083974650742919,0.47474342309988826
33,RUS,142742.35,1428383.263,2891627.8589999997,10.006723743864383,0.4939720229054551
34,SVK,5379.23,88043.45984,222650.9288,16.36729789207749,0.39543270856546275
35,SVN,2021.32,48874.20765,111674.27900000001,24.179351933390063,0.43764963685147223
36,ESP,45954.11,1508558.378,3313043.186,32.82749634363499,0.45533918313372684
37,SWE,9219.64,459105.82899999997,966660.9872,49.79650279186606,0.4749398549018013
38,CHE,7647.68,533391.2481,1113686.146,69.74549773264572,0.4789421597958892
39,TUR,70440.03,663767.4455,1394028.2580000001,9.423156768956515,0.476150638762733
40,GBR,61807.0,2538021.446,5038019.967,41.063656964421504,0.5037735980850668
41,USA,304093.97,14718578.0,26825683.0,48.4014135498971,0.5486748650537621
