,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,23504.14,1357150.479,2723737.2169999997,57.740911984016435,0.4982677736051217
1,AUT,8546.36,389663.9292,809630.6777,45.594139399697646,0.481286023285281
2,BEL,11209.06,476145.5594,1110756.459,42.478634194125114,0.42866782861534547
3,BRA,204213.13,2071925.523,4103501.7830000003,10.145897685423067,0.5049164427279109
4,BGR,7223.94,49340.696019999996,122872.5068,6.830164151418755,0.40156009920357544
5,EST,17585.98,23393.74509,54483.169239999996,1.3302497267709847,0.4293756295077082
6,CAN,35535.35,1675520.7759999998,3252175.04,47.150816750081255,0.515200060080407
7,CHN,1364270.0,10283983.05,31745102.43,7.5380848732289065,0.323954949355632
8,HRV,4238.39,48159.98823,97418.58727,11.362802439133727,0.4943613901577368
9,CYP,1152.31,21050.921140000002,39448.26298,18.26845305516745,0.5336336646983082
10,CZE,10525.35,186073.3604,492771.7829,17.67859124874707,0.37760555059574213
11,DNK,5643.48,299877.6949,614581.8534,53.137017389979235,0.4879377632792306
12,FIN,5461.51,234731.3365,513657.8825,42.979201081752116,0.4569799169781065
13,FRA,66316.09,2537743.214,5020134.478,38.267382983526325,0.5055129947457156
14,DEU,80982.5,3484775.065,7066740.533,43.031211249344,0.49312339242213976
15,GRC,10892.41,208343.6673,375244.0522,19.127416916917376,0.555221771213993
16,HUN,9866.47,116649.4296,284429.5463,11.822812981745246,0.41011713135092115
17,IND,1293859.29,1994314.1919999998,3983527.1210000003,1.5413686846890435,0.500640294749483
18,IDN,255131.12,868868.8197,1714343.0669999998,3.405577570074556,0.5068231886751056
19,IRL,4657.74,227662.388,509477.093,48.878294623572806,0.4468550031551664
20,ITA,60789.14,1925309.49,4075402.119,31.671931697010354,0.47242196813511544
21,JPN,127276.0,4437887.098999999,8668735.697,34.868216309437756,0.5119416780160715
22,KOR,50746.66,1287093.385,3403854.396,25.363115227681977,0.37812821444786615
23,LVA,1993.78,27753.61499,64725.662879999996,13.920099002899015,0.42878842417503876
24,LTU,2932.37,43718.62636,85667.78697,14.908973410585977,0.510327486051552
25,LUX,556.32,58245.3736,211968.1905,104.69760857060683,0.27478355814902333
26,MLT,434.56,9457.728874,28914.92798,21.763919537002945,0.32708810067041366
27,MEX,124221.6,1227752.051,2130489.339,9.883563333590937,0.5762770216800414
28,NLD,16865.01,792656.1675,1671177.2759999998,47.00004135781717,0.47431004411287847
29,NOR,5137.23,449132.1219,835078.9088,87.42690553080163,0.5378319547614948
30,POL,38011.74,484755.614,1105443.871,12.752786744305839,0.4385167141606957
31,PRT,10401.06,201499.8502,414280.8937,19.37301103925946,0.48638460827960694
32,ROU,19908.98,176349.6527,398280.0946,8.85779445757643,0.4427779723139596
33,RUS,143819.67,1623896.157,3381079.367,11.29119651713844,0.4802892747356202
34,SVK,5418.65,91105.6073,229289.1363,16.81334046303046,0.3973393976276232
35,SVN,2061.98,42819.11383,94237.64353,20.766018016663597,0.45437377491690767
36,ESP,46480.88,1259828.507,2567905.476,27.104230965506677,0.49060548325260867
37,SWE,9696.11,507219.2504,1018189.4670000001,52.311622949822144,0.4981580215070129
38,CHE,8188.65,680533.2502,1398665.135,83.10689188083506,0.48655910065278063
39,TUR,77030.63,710919.2005,1494427.535,9.229045647166588,0.47571339783966177
40,GBR,64613.16,2666095.567,5283463.351,41.26242342891138,0.5046113486327843
41,USA,318622.53,17348070.0,30971023.0,54.44709135917036,0.560138746466334
