,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,19153.0,375111.1877,795738.2283,19.584983433404688,0.4714002348503231
1,AUT,8011.57,175648.3084,334335.257,21.92433048703313,0.5253657959262131
2,BEL,10251.25,212879.6404,492090.9398,20.76621293988538,0.4326022350391585
3,BRA,175287.59,573780.7686,1150451.429,3.2733678898774294,0.49874401833612736
4,BGR,8170.17,11591.54944,26598.84876,1.418764779680227,0.4357913962589109
5,EST,11607.94,5067.324355,11786.23728,0.4365395027024605,0.42993571524295665
6,CAN,30769.7,698250.3138,1365527.9619999998,22.692789133465713,0.5113409122558854
7,CHN,1262645.0,1198452.287,3253015.702,0.9491601257677336,0.3684126966442783
8,HRV,4426.0,18134.51656,37083.09416,4.097269896068685,0.48902382529775396
9,CYP,943.29,9211.894040000001,17663.3882,9.765707301042099,0.5215247457449869
10,CZE,10255.06,56407.63959,137783.3099,5.500468996768425,0.4093938491602458
11,DNK,5339.62,141845.0642,273742.6502,26.564636472258325,0.518169397776949
12,FIN,5176.21,110093.12,236980.0588,21.269059794714664,0.464567021197819
13,FRA,60912.5,1231216.063,2414723.568,20.212863747178332,0.509878678999169
14,DEU,82211.51,1763371.293,3461853.2210000004,21.4492021007764,0.5093720560719289
15,GRC,10805.81,117967.4727,216384.6262,10.917041175071558,0.5451749265724868
16,HUN,10210.97,40405.09275,98593.85582000001,3.957027858273994,0.4098134961246107
17,IND,1053050.91,457035.0917,889777.3842,0.43401044276197437,0.5136510545398059
18,IDN,211540.43,177730.1927,352659.9775,0.8401712745880304,0.5039704078697165
19,IRL,3805.17,89127.95416000001,204392.1258,23.422857365111152,0.43606354115232754
20,ITA,56942.11,1025834.0229999999,2213740.265,18.015384800457866,0.46339403010316566
21,JPN,126843.0,4637896.423,8691188.718,36.56407072522725,0.5336320005794633
22,KOR,47008.11,504456.9399,1175975.812,10.73127466515884,0.4289688059502367
23,LVA,2367.55,7111.795305,15754.567030000002,3.00386277164157,0.4514116631360068
24,LTU,3499.54,10253.491259999999,19372.378780000003,2.929954011098601,0.5292840583204825
25,LUX,436.3,18941.900230000003,50505.37607,43.41485269310108,0.3750472069299454
26,MLT,390.09,3642.1077689999997,9348.108569,9.336583273090826,0.3896090575025926
27,MEX,101719.67,614135.8954,1093021.603,6.037533305013672,0.561869860316018
28,NLD,15925.51,371279.8112,775867.4092,23.313527240257926,0.4785351295820353
29,NOR,4490.97,151398.7562,277219.0521,33.711816422732724,0.5461340230879465
30,POL,38258.63,152788.83,334974.6019,3.99357818092284,0.45612064058997537
31,PRT,10289.9,103967.9895,226473.0005,10.103887258379576,0.45907454429650657
32,ROU,22442.97,33855.928210000005,72755.18941,1.508531545067342,0.4653403899371417
33,RUS,146596.56,232602.5359,446270.0378,1.5866848164786405,0.5212147717706358
34,SVK,5388.72,18433.88967,47953.62343,3.420829003919298,0.38441077756947306
35,SVN,1988.92,17689.454019999997,38579.161739999996,8.8939997687187,0.4585235454107614
36,ESP,40567.86,541526.0756,1114171.93,13.348647811346222,0.48603457062502015
37,SWE,8872.11,230395.1382,472785.1257,25.968471784051367,0.48731469260772475
38,CHE,7184.25,259530.986,526268.5405,36.12499370149981,0.49315314526196724
39,TUR,63240.12,263237.3446,573083.3804,4.162505456978892,0.4593351571568276
40,GBR,58892.51,1387317.9719999998,2753696.9480000003,23.556781193397935,0.5038019790113809
41,USA,282162.41,10284778.0,18564550.0,36.449851700657085,0.5540009318836169
