Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,19.584983433404688,18.386037155514344,20.211268749300306,25.755895749771295,30.974641155837322,34.38661284739247,36.46125335903642,43.80925206456818,47.29938411799032,44.01122117676345,54.90942902856106,64.5416216279126,64.98187602314084,61.89457666368556,57.740911984016435
Austria,21.924330487033128,21.894770656119093,23.62051927997664,28.740925183034488,32.75843681511312,33.98782680244973,36.09245634106697,41.62089031509893,46.04847414528631,42.59020526600922,41.579622928474066,45.592377556711206,42.96315333707396,45.034759605746345,45.594139399697646
Belgium,20.766212939885374,20.77359077904491,22.566634671404987,27.670521302258173,31.875234417731647,33.06498190601434,34.73813652118514,39.72058716131642,43.534813169411294,40.3843710965323,39.73036119200521,42.79471327167367,40.0216715296655,41.721146285105185,42.47863419412512
Brazil,3.273367889877429,2.7501337311414917,2.563238272533789,2.706552929697508,3.1947767227246566,4.163339599917312,5.018452810056228,6.303787838177962,7.462636002471356,7.3825097744438075,9.541710561892256,11.188002689057832,10.43171853767368,10.402178830023203,10.145897685423067
Bulgaria,1.4187647796802267,1.5603688336076034,1.8725800124024519,2.375592583208687,2.9015234292186203,3.318246499202896,3.81181304745942,5.048508611937964,6.175941659459517,6.056135698588477,5.864398976418411,6.7766509302113525,6.327875511402444,6.5966034801950695,6.830164151418755
Burkina Faso,0.4365395027024605,0.4637031909843704,0.5293312248334431,0.6946725121734195,0.8191976252765611,0.9223276749319956,1.0758296399352674,1.3687309090220192,1.467715471965788,1.1326627411482657,1.0939184708706446,1.2652003065558173,1.2009041561212748,1.2947510039407897,1.3302497267709847
Canada,22.69278913346572,22.31772263600359,22.62121959058733,26.53751299722187,29.942067248007497,33.84474127259222,37.9506166774791,41.73376056200558,43.908090292389076,38.50125759138732,44.65951139338109,48.821524873641565,49.43237820189269,49.219448219280785,47.150816750081255
China,0.9491601257677336,1.0416573023548374,1.1354353475476413,1.273649327072338,1.4903598194548928,1.7313231276654495,2.0695237433448765,2.6520219654977484,3.413199659533992,3.74850715938284,4.433822861542716,5.477841243034528,6.158897871836351,6.9106356097776604,7.5380848732289065
Croatia,4.097269896068685,4.358284004504505,5.061197382882884,6.546783747747747,7.924586490200496,8.653306560108057,9.621164813063062,11.546295973850315,13.629988077600453,12.255647222448006,11.546440257323814,12.489413054650962,11.21950264319658,11.439575013687556,11.362802439133727
Cyprus,9.7657073010421,9.934369205856628,10.662547017820405,13.258320705342404,15.502152838946564,16.398712035108886,17.498279461698118,20.15229566329168,22.86103279522172,21.34653728325805,20.75370460448855,22.213260392589174,20.187155674589885,19.30145134190052,18.26845305516745
Czech Republic,5.500468996768425,6.035654144235853,7.378327474374615,8.943038199921522,10.603518333643878,12.06983451536643,13.817047771686635,16.676983346651998,20.720965429578413,17.962231380111337,17.952125446683873,19.61779223501323,17.69757052283465,17.77275795656759,17.678591248747068
Denmark,26.564636472258325,26.50470118198545,28.638596038266865,34.866094976969045,39.89770843664192,41.554643366553314,44.239077349478684,49.697162598142604,55.311194804154646,50.01773268635368,49.7852145401321,52.93920557501298,50.159101415166035,52.12514777566239,53.13701738997924
Finland,21.269059794714664,21.94302084999836,23.641090951044113,28.696143226274266,33.01224191256214,34.05937479270314,35.87670400492189,42.40871269418688,47.164476380472024,41.369014491830676,40.44319949285428,44.03490693673479,40.91662155497721,42.587095847191655,42.979201081752116
France,20.21286374717833,20.295531380633122,21.98023484081536,26.82408968832622,30.538279630185148,31.352115145217546,32.752687209865606,37.39705041987008,41.040181443134976,37.780956384343966,36.71628309310936,39.39989134224164,36.65877205821097,38.22029447264536,38.26738298352633
Germany,21.449202100776397,21.42405352378564,22.90785158026289,27.481079923493517,31.017898545086755,31.40949933927024,32.99898020611474,37.67267086173853,41.28239135015058,37.58932773690999,37.63740045022478,42.10383579042935,39.53996584678901,41.777899426627116,43.031211249344
Greece,10.917041175071557,11.1697691428845,12.645913372017295,16.615268597291198,19.844622086071013,20.24797646557711,21.994780569781753,25.462161177067962,28.388574920742673,26.67167304101369,23.798124479604077,22.802372619294186,19.656355693657137,19.37703996549086,19.127416916917365
Hungary,3.9570278582739937,4.555185729093662,5.791488747968472,7.213029741696325,8.783483035277008,9.625041065443186,9.898099478025332,11.898551658846953,13.530740213126073,11.081252024165266,11.043232563534872,11.987967494105835,10.7736619840409,11.453966479599881,11.822812981745242
