Country,Population
AUS,19651.4
AUT,8081.96
BEL,10332.78
BRA,180151.02
BGR,7837.16
EST,12293.1
CAN,31362.0
CHN,1280400.0
HRV,4440.0
CYP,976.97
CZE,10196.92
DNK,5375.93
FIN,5200.6
FRA,61805.27
DEU,82488.49
GRC,10902.02
HUN,10158.61
IND,1089807.11
IDN,217508.06
IRL,3931.95
ITA,57059.01
JPN,127445.0
KOR,47644.74
LVA,2310.17
LTU,3443.07
LUX,446.18
MLT,395.97
MEX,104355.61
NLD,16148.93
NOR,4538.16
POL,38230.36
PRT,10419.63
ROU,21730.5
RUS,145306.05
SVK,5376.91
SVN,1994.53
ESP,41431.56
SWE,8924.96
CHE,7284.75
TUR,65143.05
GBR,59370.48
USA,287625.19
