Country,Population
AUS,22031.75
AUT,8363.4
BEL,10895.59
BRA,196796.27
BGR,7395.6
EST,15605.22
CAN,34005.27
CHN,1337705.0
HRV,4417.78
CYP,1112.61
CZE,10474.41
DNK,5547.68
FIN,5363.35
FRA,65027.51
DEU,81776.93
GRC,11121.34
HUN,10000.02
IND,1230980.69
IDN,242524.12
IRL,4560.15
ITA,59277.42
JPN,128070.0
KOR,49554.11
LVA,2097.55
LTU,3097.28
LUX,506.95
MLT,414.51
MEX,117318.94
NLD,16615.39
NOR,4889.25
POL,38042.79
PRT,10573.1
ROU,20246.87
RUS,142849.45
SVK,5391.43
SVN,2048.58
ESP,46576.9
SWE,9378.13
CHE,7824.91
TUR,72326.91
GBR,62766.36
USA,309338.42
