Country,Population
AUS,23850.78
AUT,8642.7
BEL,11274.2
BRA,205962.11
BGR,7177.99
EST,18110.62
CAN,35832.51
CHN,1371220.0
HRV,4203.6
CYP,1160.98
CZE,10546.06
DNK,5683.48
FIN,5479.53
FRA,66593.37
DEU,81686.61
GRC,10820.88
HUN,9843.03
IND,1309053.98
IDN,258162.11
IRL,4701.96
ITA,60730.58
JPN,127141.0
KOR,51014.95
LVA,1977.53
LTU,2904.91
LUX,569.6
MLT,445.05
MEX,125890.95
NLD,16939.92
NOR,5190.24
POL,37986.41
PRT,10358.08
ROU,19815.48
RUS,144096.87
SVK,5423.8
SVN,2063.53
ESP,46444.83
SWE,9799.19
CHE,8282.4
TUR,78271.47
GBR,65128.86
USA,321039.84
