Country,Population
AUS,22340.02
AUT,8391.64
BEL,11047.74
BRA,198686.69
BGR,7348.33
EST,16081.9
CAN,34342.78
CHN,1344130.0
HRV,4280.62
CYP,1124.84
CZE,10496.09
DNK,5570.57
FIN,5388.27
FRA,65342.78
DEU,80274.98
GRC,11104.9
HUN,9971.73
IND,1247236.03
IDN,245707.51
IRL,4580.08
ITA,59379.45
JPN,127833.0
KOR,49936.64
LVA,2059.71
LTU,3028.11
LUX,518.35
MLT,416.27
MEX,119090.02
NLD,16693.07
NOR,4953.09
POL,38063.25
PRT,10557.56
ROU,20147.53
RUS,142960.87
SVK,5398.38
SVN,2052.84
ESP,46742.7
SWE,9449.21
CHE,7912.4
TUR,73409.46
GBR,63258.92
USA,311644.28
