Country,Population
AUS,22742.47
AUT,8429.99
BEL,11128.25
BRA,200560.98
BGR,7305.89
EST,16571.22
CAN,34750.54
CHN,1350695.0
HRV,4267.56
CYP,1135.06
CZE,10510.78
DNK,5591.57
FIN,5413.97
FRA,65659.79
DEU,80425.82
GRC,11045.01
HUN,9920.36
IND,1263065.85
IDN,248883.23
IRL,4599.53
ITA,59539.72
JPN,127629.0
KOR,50199.85
LVA,2034.32
LTU,2987.77
LUX,530.95
MLT,420.03
MEX,120828.31
NLD,16754.96
NOR,5018.57
POL,38063.16
PRT,10514.84
ROU,20058.03
RUS,143201.68
SVK,5407.58
SVN,2057.16
ESP,46773.06
SWE,9519.37
CHE,7996.86
TUR,74569.87
GBR,63700.3
USA,313993.27
