Country,Population
AUS,20827.6
AUT,8295.49
BEL,10625.7
BRA,191026.64
BGR,7545.34
EST,14252.02
CAN,32887.93
CHN,1317885.0
HRV,4436.0
CYP,1063.71
CZE,10298.83
DNK,5461.44
FIN,5288.72
FRA,64016.23
DEU,82266.37
GRC,11048.47
HUN,10055.78
IND,1179681.24
IDN,232989.14
IRL,4398.94
ITA,58438.31
JPN,128001.0
KOR,48683.64
LVA,2200.32
LTU,3231.29
LUX,479.99
MLT,406.72
MEX,111836.35
NLD,16381.7
NOR,4709.15
POL,38120.56
PRT,10542.96
ROU,20882.98
RUS,142805.09
SVK,5374.62
SVN,2018.12
ESP,45226.8
SWE,9148.09
CHE,7551.12
TUR,69597.28
GBR,61322.46
USA,301231.21
