Country,Population
AUS,19895.4
AUT,8121.42
BEL,10376.13
BRA,182482.15
BGR,7775.33
EST,12654.62
CAN,31676.0
CHN,1288400.0
HRV,4440.0
CYP,993.56
CZE,10194.0
DNK,5390.57
FIN,5213.01
FRA,62244.89
DEU,82534.18
GRC,10928.07
HUN,10129.55
IND,1108027.85
IDN,220545.21
IRL,3996.52
ITA,57313.2
JPN,127718.0
KOR,47892.33
LVA,2287.95
LTU,3415.21
LUX,451.63
MLT,398.58
MEX,105640.45
NLD,16225.3
NOR,4564.85
POL,38204.57
PRT,10458.82
ROU,21574.33
RUS,144648.26
SVK,5373.37
SVN,1995.73
ESP,42187.64
SWE,8958.23
CHE,7339.0
TUR,66085.8
GBR,59647.58
USA,290107.93
