Country,Population
AUS,20127.4
AUT,8171.97
BEL,10421.14
BRA,184738.46
BGR,7716.86
EST,13030.57
CAN,31995.0
CHN,1296075.0
HRV,4439.0
CYP,1010.41
CZE,10197.1
DNK,5404.52
FIN,5228.17
FRA,62704.89
DEU,82516.26
GRC,10955.14
HUN,10107.15
IND,1126135.78
IDN,223614.65
IRL,4070.26
ITA,57685.33
JPN,127761.0
KOR,48082.52
LVA,2263.12
LTU,3377.07
LUX,458.1
MLT,401.27
MEX,106995.58
NLD,16281.78
NOR,4591.91
POL,38182.22
PRT,10483.86
ROU,21451.75
RUS,144067.05
SVK,5372.28
SVN,1997.01
ESP,42921.89
SWE,8993.53
CHE,7389.63
TUR,67007.85
GBR,59987.9
USA,292805.3
