Country,Population
AUS,19153.0
AUT,8011.57
BEL,10251.25
BRA,175287.59
BGR,8170.17
EST,11607.94
CAN,30769.7
CHN,1262645.0
HRV,4426.0
CYP,943.29
CZE,10255.06
DNK,5339.62
FIN,5176.21
FRA,60912.5
DEU,82211.51
GRC,10805.81
HUN,10210.97
IND,1053050.91
IDN,211540.43
IRL,3805.17
ITA,56942.11
JPN,126843.0
KOR,47008.11
LVA,2367.55
LTU,3499.54
LUX,436.3
MLT,390.09
MEX,101719.67
NLD,15925.51
NOR,4490.97
POL,38258.63
PRT,10289.9
ROU,22442.97
RUS,146596.56
SVK,5388.72
SVN,1988.92
ESP,40567.86
SWE,8872.11
CHE,7184.25
TUR,63240.12
GBR,58892.51
USA,282162.41
