Country,Population
AUS,20394.8
AUT,8227.83
BEL,10478.62
BRA,186917.36
BGR,7658.97
EST,13421.93
CAN,32312.0
CHN,1303720.0
HRV,4442.0
CYP,1027.66
CZE,10211.22
DNK,5419.43
FIN,5246.1
FRA,63179.35
DEU,82469.42
GRC,10987.31
HUN,10087.07
IND,1144118.67
IDN,226712.73
IRL,4159.91
ITA,57969.48
JPN,127773.0
KOR,48184.56
LVA,2238.8
LTU,3322.53
LUX,465.16
MLT,403.83
MEX,108472.23
NLD,16319.87
NOR,4623.29
POL,38165.44
PRT,10503.33
ROU,21319.69
RUS,143518.52
SVK,5372.81
SVN,2000.47
ESP,43653.15
SWE,9029.57
CHE,7437.11
TUR,67903.41
GBR,60401.21
USA,295516.6
