Country,Population
AUS,21249.2
AUT,8321.5
BEL,10709.97
BRA,192979.03
BGR,7492.56
EST,14689.73
CAN,33245.77
CHN,1324655.0
HRV,4434.51
CYP,1081.56
CZE,10384.6
DNK,5493.62
FIN,5313.4
FRA,64374.99
DEU,82110.1
GRC,11077.84
HUN,10038.19
IND,1197146.91
IDN,236159.28
IRL,4489.54
ITA,58826.73
JPN,128063.0
KOR,49054.71
LVA,2177.32
LTU,3198.23
LUX,488.65
MLT,409.38
MEX,113661.81
NLD,16445.59
NOR,4768.21
POL,38125.76
PRT,10558.18
ROU,20537.88
RUS,142742.35
SVK,5379.23
SVN,2021.32
ESP,45954.11
SWE,9219.64
CHE,7647.68
TUR,70440.03
GBR,61807.0
USA,304093.97
