Country,Population
AUS,19413.0
AUT,8042.29
BEL,10286.57
BRA,177750.67
BGR,8009.14
EST,11944.59
CAN,31081.9
CHN,1271850.0
HRV,4440.0
CYP,960.28
CZE,10216.6
DNK,5358.78
FIN,5188.01
FRA,61357.43
DEU,82349.93
GRC,10862.13
HUN,10187.58
IND,1071477.85
IDN,214506.5
IRL,3866.24
ITA,56974.1
JPN,127149.0
KOR,47370.16
LVA,2337.17
LTU,3470.82
LUX,441.52
MLT,393.03
MEX,103067.07
NLD,16046.18
NOR,4513.75
POL,38248.08
PRT,10362.72
ROU,22131.97
RUS,145976.08
SVK,5378.87
SVN,1992.06
ESP,40850.41
SWE,8895.96
CHE,7229.85
TUR,64191.47
GBR,59119.67
USA,284968.96
