Country,Population
AUS,23504.14
AUT,8546.36
BEL,11209.06
BRA,204213.13
BGR,7223.94
EST,17585.98
CAN,35535.35
CHN,1364270.0
HRV,4238.39
CYP,1152.31
CZE,10525.35
DNK,5643.48
FIN,5461.51
FRA,66316.09
DEU,80982.5
GRC,10892.41
HUN,9866.47
IND,1293859.29
IDN,255131.12
IRL,4657.74
ITA,60789.14
JPN,127276.0
KOR,50746.66
LVA,1993.78
LTU,2932.37
LUX,556.32
MLT,434.56
MEX,124221.6
NLD,16865.01
NOR,5137.23
POL,38011.74
PRT,10401.06
ROU,19908.98
RUS,143819.67
SVK,5418.65
SVN,2061.98
ESP,46480.88
SWE,9696.11
CHE,8188.65
TUR,77030.63
GBR,64613.16
USA,318622.53
