Country,Population
AUS,21691.7
AUT,8343.32
BEL,10796.49
BRA,194896.0
BGR,7444.44
EST,15141.1
CAN,33628.57
CHN,1331260.0
HRV,4429.08
CYP,1098.08
CZE,10443.94
DNK,5523.1
FIN,5338.87
FRA,64707.04
DEU,81902.31
GRC,11107.02
HUN,10022.65
IND,1214270.13
IDN,239340.48
IRL,4535.38
ITA,59095.36
JPN,128047.0
KOR,49307.83
LVA,2141.67
LTU,3162.92
LUX,497.78
MLT,412.48
MEX,115505.23
NLD,16530.39
NOR,4828.73
POL,38151.6
PRT,10568.25
ROU,20367.49
RUS,142785.34
SVK,5386.41
SVN,2039.67
ESP,46362.95
SWE,9298.51
CHE,7743.83
TUR,71339.18
GBR,62276.27
USA,306771.53
