Country,Population
AUS,20697.9
AUT,8268.64
BEL,10547.96
BRA,189012.41
BGR,7601.02
EST,13829.18
CAN,32570.51
CHN,1311020.0
HRV,4440.0
CYP,1045.51
CZE,10238.91
DNK,5437.27
FIN,5266.27
FRA,63621.38
DEU,82376.45
GRC,11020.36
HUN,10071.37
IND,1161977.72
IDN,229838.2
IRL,4273.59
ITA,58143.98
JPN,127854.0
KOR,48438.29
LVA,2218.36
LTU,3269.91
LUX,472.64
MLT,405.31
MEX,110092.38
NLD,16346.1
NOR,4660.68
POL,38141.27
PRT,10522.29
ROU,21193.76
RUS,143049.53
SVK,5373.05
SVN,2006.87
ESP,44397.32
SWE,9080.5
CHE,7483.93
TUR,68763.4
GBR,60846.82
USA,298379.91
